Date,Close/Last,Volume,Open,variacion,cuenta financiera,
02/27/2024,$20.19,604360,$20.93,-0.0242,"$12,202,028.40",
02/26/2024,$20.69,477562,$20.46,-0.0086,"$9,880,757.78",
02/23/2024,$20.87,713528,$20.87,0.0038,"$14,891,329.36",
02/22/2024,$20.79,927479,$20.25,0.0348,"$19,282,288.41",
02/21/2024,$20.09,182350,$21.02,-0.0313,"$3,663,411.50",
02/20/2024,$20.74,475381,$20.56,0.0262,"$9,859,401.94",
02/16/2024,$20.21,361183,$20.21,-0.0108,"$7,299,508.43",
02/15/2024,$20.43,1155805,$21.01,-0.0408,"$23,613,096.15",
02/14/2024,$21.30,1688173,$20.60,0.0340,"$35,958,084.90",
02/13/2024,$20.60,2108051,$19.90,0.0537,"$43,425,850.60",
02/12/2024,$19.55,2504738,$19.20,0.0262,"$48,967,627.90",
02/09/2024,$19.05,15493660,$19.50,,"$295,154,223.00",
